FishnetID,NAME
1259,Chongming
1260,Baoshan
1261,Minhang
1262,Pudong New
1263,Chongming
1264,Pudong New
1265,Chongming
1266,Pudong New
1267,Minhang
1268,Pudong New
1269,Chongming
1270,Jiading
1271,Pudong New
1272,Chongming
1273,Qingpu
1274,Pudong New
1275,Jinshan
1276,Fengxian
1277,Songjiang
1278,Baoshan
1279,Chongming
1280,Chongming
1281,Songjiang
1282,Fengxian
1283,Jinshan
1284,Pudong New
1285,Chongming
1286,Fengxian
1287,Baoshan
1288,Songjiang
1289,Jiading
1290,Songjiang
1291,Chongming
1292,Jinshan
1293,Baoshan
1294,Songjiang
1295,Qingpu
1296,Pudong New
1297,Minhang
1298,Jiading
1299,Chongming
1300,Minhang
1301,Qingpu
1302,Jiading
1303,Qingpu
1304,Songjiang
1305,Qingpu
1306,Chongming
1307,Chongming
1308,Fengxian
1309,Chongming
1310,Shanghai Proper
1311,Qingpu
1312,Chongming
1313,Jiading
1314,Jinshan
1315,Jinshan
1316,Qingpu
1317,Fengxian
1318,Pudong New
1319,Jiading
1320,Fengxian
1321,Songjiang
1322,Minhang
1323,Pudong New
1324,Fengxian
1325,Chongming
1326,Minhang
1327,Jiading
1328,Songjiang
1329,Qingpu
1330,Songjiang
1331,Baoshan
1332,Jiading
1333,Chongming
1334,Chongming
1335,Baoshan
1336,Shanghai Proper
1337,Chongming
1338,Chongming
1339,Chongming
1340,Shanghai Proper
1341,Qingpu
1342,Jiading
1343,Jiading
1344,Pudong New
1345,Jinshan
1346,Pudong New
1347,Shanghai Proper
1348,Chongming
1349,Baoshan
1350,Jinshan
1351,Jinshan
1352,Shanghai Proper
1353,Fengxian
1354,Jinshan
1355,Shanghai Proper
1356,Minhang
1357,Baoshan
1358,Fengxian
1359,Qingpu
1360,Jinshan
1361,Chongming
1362,Chongming
1363,Pudong New
1364,Pudong New
1365,Fengxian
1366,Jinshan
1367,Songjiang
1368,Chongming
1369,Fengxian
1370,Qingpu
1371,Pudong New
1372,Qingpu
1373,Minhang
1374,Pudong New
1375,Chongming
1376,Qingpu
1377,Jinshan
1378,Pudong New
1379,Pudong New
1380,Baoshan
1381,Pudong New
1382,Chongming
1383,Shanghai Proper
1384,Baoshan
1385,Shanghai Proper
1386,Jinshan
1387,Songjiang
1388,Jiading
1389,Fengxian
1390,Fengxian
1391,Baoshan
1392,Chongming
1393,Qingpu
1394,Pudong New
1395,Jinshan
1396,Chongming
1397,Chongming
1398,Jinshan
1399,Chongming
1400,Chongming
1401,Baoshan
1402,Baoshan
1403,Fengxian
1404,Qingpu
1405,Songjiang
1406,Baoshan
1407,Fengxian
1408,Qingpu
1409,Songjiang
1410,Jinshan
1411,Jiading
1412,Pudong New
1413,Jinshan
1414,Qingpu
1415,Pudong New
1416,Qingpu
1417,Jiading
1418,Minhang
1419,Songjiang
1420,Jinshan
1421,Jiading
1422,Fengxian
1423,Pudong New
1424,Qingpu
1425,Qingpu
1426,Baoshan
1427,Fengxian
1428,Pudong New
1429,Songjiang
1430,Shanghai Proper
1431,Baoshan
1432,Chongming
1433,Pudong New
1434,Fengxian
1435,Qingpu
1436,Pudong New
1437,Jinshan
1438,Baoshan
1439,Minhang
1440,Jinshan
1441,Jinshan
1442,Jinshan
1443,Pudong New
1444,Jiading
1445,Chongming
1446,Pudong New
1447,Fengxian
1448,Jinshan
1449,Pudong New
1450,Fengxian
1451,Fengxian
1452,Chongming
1453,Minhang
1454,Minhang
1455,Fengxian
1456,Pudong New
1457,Jiading
1458,Jinshan
1459,Qingpu
1460,Fengxian
1461,Chongming
1462,Chongming
1463,Jinshan
1464,Qingpu
1465,Chongming
1466,Fengxian
1467,Songjiang
1468,Chongming
1469,Fengxian
1470,Baoshan
1471,Jinshan
1472,Fengxian
1473,Jinshan
1474,Jinshan
1475,Minhang
1476,Fengxian
1477,Baoshan
1478,Chongming
1479,Qingpu
1480,Shanghai Proper
1481,Chongming
1482,Songjiang
1483,Qingpu
1484,Pudong New
1485,Qingpu
1486,Pudong New
1487,Pudong New
1488,Minhang
1489,Chongming
1490,Pudong New
1491,Baoshan
1492,Chongming
1493,Songjiang
1494,Jiading
1495,Chongming
1496,Songjiang
1497,Pudong New
1498,Pudong New
1499,Qingpu
1500,Jiading
1501,Qingpu
1502,Chongming
1503,Pudong New
1504,Qingpu
1505,Shanghai Proper
1506,Jinshan
1507,Songjiang
1508,Jinshan
1509,Qingpu
1510,Minhang
1511,Minhang
1512,Fengxian
1513,Qingpu
1514,Chongming
1515,Fengxian
1516,Jiading
1517,Songjiang
1518,Chongming
1519,Jinshan
1520,Chongming
1521,Chongming
1522,Pudong New
1523,Minhang
1524,Pudong New
1525,Jinshan
1526,Chongming
1527,Chongming
1528,Shanghai Proper
1529,Pudong New
1530,Fengxian
1531,Pudong New
1532,Pudong New
1533,Minhang
1534,Qingpu
1535,Shanghai Proper
1536,Shanghai Proper
1537,Pudong New
1538,Jiading
1539,Chongming
1540,Songjiang
1541,Chongming
1542,Jinshan
1543,Jinshan
1544,Songjiang
1545,Qingpu
1546,Minhang
1547,Jinshan
1548,Minhang
1549,Jinshan
1550,Pudong New
1551,Qingpu
1552,Songjiang
1553,Pudong New
1554,Pudong New
1555,Chongming
1556,Fengxian
1557,Jinshan
1558,Jiading
1559,Jiading
1560,Jinshan
1561,Jinshan
1562,Fengxian
1563,Pudong New
1564,Jinshan
1565,Pudong New
1566,Baoshan
1567,Baoshan
1568,Jiading
1569,Songjiang
1570,Songjiang
1571,Chongming
1572,Baoshan
1573,Chongming
1574,Qingpu
1575,Pudong New
1576,Baoshan
1577,Pudong New
1578,Pudong New
1579,Jinshan
1580,Qingpu
1581,Chongming
1582,Baoshan
1583,Jinshan
1584,Qingpu
1585,Chongming
1586,Pudong New
1587,Chongming
1588,Pudong New
1589,Jinshan
1590,Baoshan
1591,Fengxian
1592,Jinshan
1593,Baoshan
1594,Chongming
1595,Jinshan
1596,Pudong New
1597,Jinshan
1598,Songjiang
1599,Fengxian
1600,Pudong New
1601,Baoshan
1602,Jiading
1603,Jiading
1604,Songjiang
1605,Pudong New
1606,Qingpu
1607,Minhang
1608,Pudong New
1609,Jinshan
1610,Jinshan
1611,Minhang
1612,Pudong New
1613,Qingpu
1614,Chongming
1615,Pudong New
1616,Baoshan
1617,Fengxian
